Fecha	COVID-19
18/03/2020	1
19/03/2020	0
20/03/2020	1
21/03/2020	5
22/03/2020	0
23/03/2020	0
24/03/2020	2
25/03/2020	0
26/03/2020	6
27/03/2020	0
28/03/2020	0
29/03/2020	0
30/03/2020	1
31/03/2020	1
01/04/2020	4
02/04/2020	0
03/04/2020	1
04/04/2020	0
05/04/2020	5
06/04/2020	1
07/04/2020	0
08/04/2020	1
09/04/2020	0
10/04/2020	1
11/04/2020	0
12/04/2020	0
13/04/2020	0
14/04/2020	0
15/04/2020	0
16/04/2020	0
17/04/2020	0
18/04/2020	0
19/04/2020	1
20/04/2020	0
21/04/2020	4
22/04/2020	0
23/04/2020	0
24/04/2020	0
25/04/2020	1
26/04/2020	0
27/04/2020	1
28/04/2020	0
29/04/2020	2
30/04/2020	0
01/05/2020	0
02/05/2020	0
03/05/2020	3
04/05/2020	0
05/05/2020	0
06/05/2020	0
07/05/2020	0
08/05/2020	0
09/05/2020	0
10/05/2020	1
11/05/2020	0
12/05/2020	0
13/05/2020	0
14/05/2020	0
15/05/2020	0
16/05/2020	0
17/05/2020	0
18/05/2020	0
19/05/2020	0
20/05/2020	1
21/05/2020	0
22/05/2020	1
23/05/2020	0
24/05/2020	2
25/05/2020	0
26/05/2020	0
27/05/2020	0
28/05/2020	0
29/05/2020	1
30/05/2020	0
31/05/2020	0
01/06/2020	0
02/06/2020	0
03/06/2020	1
04/06/2020	0
05/06/2020	0
06/06/2020	0
07/06/2020	0
08/06/2020	0
09/06/2020	0
10/06/2020	0
11/06/2020	1
12/06/2020	1
13/06/2020	6
14/06/2020	0
15/06/2020	0
16/06/2020	1
17/06/2020	1
18/06/2020	0
19/06/2020	0
20/06/2020	0
21/06/2020	1
22/06/2020	0
23/06/2020	10
24/06/2020	1
25/06/2020	1
26/06/2020	1
27/06/2020	0
28/06/2020	0
29/06/2020	0
30/06/2020	7
01/07/2020	0
02/07/2020	2
03/07/2020	1
04/07/2020	3
05/07/2020	0
06/07/2020	0
07/07/2020	1
08/07/2020	1
09/07/2020	2
10/07/2020	0
11/07/2020	1
12/07/2020	1
13/07/2020	0
14/07/2020	1
15/07/2020	1
16/07/2020	5
17/07/2020	0
18/07/2020	0
19/07/2020	0
20/07/2020	1
21/07/2020	0
22/07/2020	0
23/07/2020	4
24/07/2020	8
25/07/2020	8
26/07/2020	13
27/07/2020	17
28/07/2020	10
29/07/2020	37
30/07/2020	8
31/07/2020	20
01/08/2020	34
02/08/2020	8
03/08/2020	24
04/08/2020	28
05/08/2020	30
06/08/2020	9
07/08/2020	8
08/08/2020	26
09/08/2020	27
10/08/2020	24
11/08/2020	27
12/08/2020	31
13/08/2020	24
14/08/2020	22
15/08/2020	34
16/08/2020	35
17/08/2020	23
18/08/2020	46
19/08/2020	107
20/08/2020	56
21/08/2020	112
22/08/2020	83
23/08/2020	87
24/08/2020	107
25/08/2020	111
26/08/2020	90
27/08/2020	141
28/08/2020	190
29/08/2020	164
30/08/2020	221
31/08/2020	224
01/09/2020	254
02/09/2020	279
03/09/2020	307
04/09/2020	390
05/09/2020	354
06/09/2020	334
07/09/2020	349
08/09/2020	399
09/09/2020	338
10/09/2020	480
11/09/2020	526
12/09/2020	543
13/09/2020	625
14/09/2020	577
15/09/2020	573
16/09/2020	419
17/09/2020	628
18/09/2020	604
19/09/2020	661
20/09/2020	739
21/09/2020	453
22/09/2020	552
23/09/2020	500
24/09/2020	702
25/09/2020	581
26/09/2020	602
27/09/2020	809
28/09/2020	691
29/09/2020	915
30/09/2020	863
01/10/2020	815
02/10/2020	899
03/10/2020	992
04/10/2020	934
05/10/2020	946
06/10/2020	955
07/10/2020	929
08/10/2020	970
09/10/2020	941
10/10/2020	928
11/10/2020	1031
12/10/2020	1282
13/10/2020	1169
14/10/2020	1338
15/10/2020	1226
16/10/2020	1368
17/10/2020	1400
18/10/2020	1112
19/10/2020	844
20/10/2020	1134
21/10/2020	1244
22/10/2020	1392
23/10/2020	1093
24/10/2020	1164
25/10/2020	764
26/10/2020	500
27/10/2020	986
28/10/2020	899
29/10/2020	936
30/10/2020	927
31/10/2020	821
01/11/2020	573
02/11/2020	395
03/11/2020	469
04/11/2020	611
05/11/2020	669
06/11/2020	750
07/11/2020	632
08/11/2020	313
09/11/2020	364
10/11/2020	533
11/11/2020	494
12/11/2020	630
13/11/2020	571
14/11/2020	573
15/11/2020	411
16/11/2020	304
17/11/2020	509
18/11/2020	554
19/11/2020	504
20/11/2020	446
21/11/2020	348
22/11/2020	249
23/11/2020	199
24/11/2020	170
25/11/2020	320
26/11/2020	339
27/11/2020	322
