Fecha	COVID19 2021
19/03/2021	307
20/03/2021	390
21/03/2021	354
22/03/2021	334
23/03/2021	349
24/03/2021	399
25/03/2021	338
26/03/2021	480
27/03/2021	526
28/03/2021	543
29/03/2021	625
30/03/2021	577
31/03/2021	573
01/04/2021	489
02/04/2021	459
03/04/2021	485
04/04/2021	444
05/04/2021	405
06/04/2021	514
07/04/2021	599
08/04/2021	780
09/04/2021	807
10/04/2021	771
11/04/2021	602
12/04/2021	502
13/04/2021	630
14/04/2021	759
15/04/2021	780
16/04/2021	898
17/04/2021	714
18/04/2021	587
19/04/2021	568
20/04/2021	788
21/04/2021	695
22/04/2021	825
23/04/2021	797
24/04/2021	549
25/04/2021	427
26/04/2021	574
27/04/2021	589
28/04/2021	646
29/04/2021	663
30/04/2021	587
01/05/2021	582
02/05/2021	374
03/05/2021	359
04/05/2021	689
05/05/2021	619
06/05/2021	603
07/05/2021	612
08/05/2021	558
09/05/2021	433
10/05/2021	586
11/05/2021	707
12/05/2021	690
13/05/2021	849
14/05/2021	838
15/05/2021	754
16/05/2021	632
17/05/2021	668
18/05/2021	963
19/05/2021	925
20/05/2021	1032
